window,country_code,count,eu_den,share,rank,coverage_threshold
2006-2010,DE,4625,18732,0.24690369421311126,1,0.8
2006-2010,CZ,193,18732,0.010303224428784967,15,0.8
2006-2010,LU,57,18732,0.003042921204356182,18,0.8
2006-2010,MT,7,18732,0.0003736920777279522,26,0.8
2006-2010,SK,24,18732,0.0012812299807815502,23,0.8
2006-2010,SE,650,18732,0.03469997864616699,7,0.8
2006-2010,RO,57,18732,0.003042921204356182,18,0.8
2006-2010,LT,3,18732,0.00016015374759769378,28,0.8
2011-2015,SI,62,22980,0.0026979982593559617,21,0.8
2011-2015,FI,475,22980,0.020670147954743257,13,0.8
2011-2015,FR,3950,22980,0.17188859878154916,3,0.8
2011-2015,PL,241,22980,0.010487380330722367,16,0.8
2011-2015,BE,796,22980,0.03463881636205396,9,0.8
2011-2015,BG,13,22980,0.0005657093124456048,26,0.8
2011-2015,ES,1723,22980,0.07497824194952132,5,0.8
2011-2015,DK,566,22980,0.02463011314186249,11,0.8
2011-2015,AT,1015,22980,0.044168842471714535,7,0.8
2011-2015,GR,620,22980,0.026979982593559618,10,0.8
2011-2015,PT,514,22980,0.02236727589208007,12,0.8
2011-2015,HR,30,22980,0.0013054830287206266,24,0.8
2011-2015,GB,5047,22980,0.21962576153176674,2,0.8
2011-2015,EE,67,22980,0.002915578764142733,20,0.8
2011-2015,LV,18,22980,0.000783289817232376,25,0.8
2011-2015,CY,49,22980,0.002132288946910357,22,0.8
2011-2015,IT,2414,22980,0.1050478677110531,4,0.8
2011-2015,HU,137,22980,0.0059617058311575285,17,0.8
2011-2015,IE,400,22980,0.017406440382941687,14,0.8
2011-2015,NL,1529,22980,0.06653611836379461,6,0.8
2011-2015,DE,6203,22980,0.2699303742384682,1,0.8
2011-2015,CZ,322,22980,0.01401218450826806,15,0.8
2011-2015,LU,136,22980,0.005918189730200174,18,0.8
2011-2015,MT,9,22980,0.000391644908616188,27,0.8
2011-2015,SK,36,22980,0.001566579634464752,23,0.8
2011-2015,SE,889,22980,0.0386858137510879,8,0.8
2011-2015,RO,85,22980,0.0036988685813751088,19,0.8
2011-2015,LT,3,22980,0.00013054830287206266,28,0.8
2016-2020,SI,87,27789,0.0031307351829860737,20,0.8
2016-2020,FI,723,27789,0.026017488934470475,11,0.8
2016-2020,FR,4037,27789,0.1452733095829285,3,0.8
2016-2020,PL,506,27789,0.01820864370794199,15,0.8
2016-2020,BE,823,27789,0.02961603512181079,10,0.8
2016-2020,BG,19,27789,0.0006837237755946598,25,0.8
2016-2020,ES,1402,27789,0.05045161754651121,6,0.8
2016-2020,DK,936,27789,0.033682392313505345,9,0.8
2016-2020,AT,1318,27789,0.047428838749145344,7,0.8
2016-2020,GR,539,27789,0.019396163949764296,13,0.8
2016-2020,PT,514,27789,0.018496527402929216,14,0.8
2016-2020,HR,28,27789,0.001007592932455288,24,0.8
2016-2020,GB,7897,27789,0.28417719241426465,1,0.8
2016-2020,EE,78,27789,0.0028068660261254454,21,0.8
2016-2020,LV,8,27789,0.00028788369498722517,27,0.8
2016-2020,CY,67,27789,0.002411025945518011,22,0.8
2016-2020,IT,2564,27789,0.09226672424340567,4,0.8
2016-2020,HU,125,27789,0.004498182734175393,18,0.8
2016-2020,IE,413,27789,0.014861995753715499,16,0.8
2016-2020,NL,2154,27789,0.07751268487531038,5,0.8
2016-2020,DE,7356,27789,0.2647090575407535,2,0.8
2016-2020,CZ,550,27789,0.01979200403037173,12,0.8
2016-2020,LU,201,27789,0.007233077836554032,17,0.8
2016-2020,MT,14,27789,0.000503796466227644,26,0.8
2016-2020,SK,65,27789,0.0023390550217712042,23,0.8
2016-2020,SE,1217,27789,0.04379430709993163,8,0.8
2016-2020,RO,112,27789,0.004030371729821152,19,0.8
2016-2020,LT,5,27789,0.00017992730936701573,28,0.8
2021-2025,SI,110,42485,0.0025891491114511003,21,0.8
2021-2025,FI,977,42485,0.022996351653524774,12,0.8
2021-2025,FR,5633,42485,0.13258797222549135,3,0.8
2021-2025,PL,1012,42485,0.023820171825350123,11,0.8
2021-2025,BE,1108,42485,0.026079792868071085,10,0.8
2021-2025,BG,84,42485,0.0019771684123808405,24,0.8
2021-2025,ES,1821,42485,0.04286218665411322,8,0.8
2021-2025,DK,1515,42485,0.03565964458044016,9,0.8
2021-2025,AT,2021,42485,0.04756973049311522,6,0.8
2021-2025,GR,604,42485,0.014216782393786043,14,0.8
2021-2025,PT,575,42485,0.013534188537130752,15,0.8
2021-2025,HR,49,42485,0.0011533482405554902,25,0.8
2021-2025,GB,13164,42485,0.3098505354831117,1,0.8
2021-2025,EE,118,42485,0.0027774508650111806,20,0.8
2021-2025,LV,10,42485,0.00023537719195010004,26,0.8
2021-2025,CY,90,42485,0.0021183947275509,23,0.8
2021-2025,IT,3684,42485,0.08671295751441685,4,0.8
2021-2025,HU,148,42485,0.0034835824408614804,18,0.8
2021-2025,IE,480,42485,0.011298105213604802,16,0.8
2021-2025,NL,3478,42485,0.0818641873602448,5,0.8
2021-2025,DE,11878,42485,0.27958102859832884,2,0.8
2021-2025,CZ,698,42485,0.016429327998116982,13,0.8
2021-2025,LU,308,42485,0.007249617512063081,17,0.8
2021-2025,MT,8,42485,0.00018830175356008002,27,0.8
2021-2025,SK,92,42485,0.0021654701659409204,22,0.8
2021-2025,SE,1973,42485,0.046439919971754735,7,0.8
2021-2025,RO,126,42485,0.0029657526185712605,19,0.8
2021-2025,LT,8,42485,0.00018830175356008002,27,0.8
2001-2005,SI,51,10027,0.005086267078887005,18,0.9
2001-2005,FI,233,10027,0.023237259399621023,10,0.9
2001-2005,FR,2009,10027,0.2003590306173332,2,0.9
2001-2005,PL,126,10027,0.012566071606662012,16,0.9
2001-2005,BE,298,10027,0.02971975665702603,8,0.9
2001-2005,BG,19,10027,0.0018948838137030019,21,0.9
2001-2005,ES,720,10027,0.07180612346664007,5,0.9
2001-2005,DK,217,10027,0.02164156776702902,11,0.9
2001-2005,AT,199,10027,0.01984641468036302,12,0.9
2001-2005,GR,276,10027,0.02752568066221203,9,0.9
2001-2005,PT,150,10027,0.014959609055550015,14,0.9
2001-2005,HR,6,10027,0.0005983843622220006,26,0.9
2001-2005,GB,1909,10027,0.1903859579136332,3,0.9
2001-2005,EE,9,10027,0.0008975765433330009,24,0.9
2001-2005,LV,10,10027,0.000997307270370001,23,0.9
2001-2005,CY,18,10027,0.0017951530866660017,22,0.9
2001-2005,IT,1140,10027,0.11369302882218012,4,0.9
2001-2005,HU,92,10027,0.00917522688740401,17,0.9
2001-2005,IE,154,10027,0.015358531963698015,13,0.9
2001-2005,NL,706,10027,0.07040989328812207,6,0.9
2001-2005,DE,2145,10027,0.21392240949436522,1,0.9
2001-2005,CZ,130,10027,0.012964994514810013,15,0.9
2001-2005,LU,7,10027,0.0006981150892590007,25,0.9
2001-2005,MT,1,10027,9.97307270370001e-05,28,0.9
2001-2005,SK,26,10027,0.0025929989029620025,19,0.9
2001-2005,SE,448,10027,0.044679365712576045,7,0.9
2001-2005,RO,20,10027,0.001994614540740002,20,0.9
2001-2005,LT,2,10027,0.0001994614540740002,27,0.9
2006-2010,SI,50,18279,0.002735379397122381,20,0.9
2006-2010,FI,432,18279,0.023633677991137372,11,0.9
2006-2010,FR,3429,18279,0.18759231905465287,3,0.9
2006-2010,PL,174,18279,0.009519120301985885,16,0.9
2006-2010,BE,622,18279,0.03402811970020242,8,0.9
2006-2010,BG,10,18279,0.0005470758794244762,25,0.9
2006-2010,ES,1428,18279,0.0781224355818152,5,0.9
2006-2010,DK,362,18279,0.01980414683516604,12,0.9
2006-2010,AT,566,18279,0.03096449477542535,9,0.9
2006-2010,GR,491,18279,0.02686142567974178,10,0.9
2006-2010,PT,343,18279,0.018764702664259534,13,0.9
2006-2010,HR,14,18279,0.0007659062311942666,24,0.9
2006-2010,GB,3802,18279,0.20799824935718583,2,0.9
2006-2010,EE,30,18279,0.0016412276382734286,22,0.9
2006-2010,LV,5,18279,0.0002735379397122381,27,0.9
2006-2010,CY,34,18279,0.001860057990043219,21,0.9
2006-2010,IT,1919,18279,0.10498386126155698,4,0.9
2006-2010,HU,132,18279,0.007221401608403085,17,0.9
2006-2010,IE,334,18279,0.018272334372777504,14,0.9
2006-2010,NL,1350,18279,0.07385524372230429,6,0.9
2006-2010,DE,4447,18279,0.24328464358006455,1,0.9
2006-2010,CZ,177,18279,0.009683243065813227,15,0.9
2006-2010,LU,57,18279,0.003118332512719514,18,0.9
2006-2010,MT,7,18279,0.0003829531155971333,26,0.9
2006-2010,SK,22,18279,0.0012035669347338475,23,0.9
2006-2010,SE,641,18279,0.035067563871108924,7,0.9
2006-2010,RO,57,18279,0.003118332512719514,18,0.9
2006-2010,LT,3,18279,0.00016412276382734285,28,0.9
2011-2015,SI,62,22315,0.0027784001792516243,21,0.9
2011-2015,FI,457,22315,0.02047949809545149,13,0.9
2011-2015,FR,3816,22315,0.17100604974232578,3,0.9
2011-2015,PL,220,22315,0.009858839345731571,16,0.9
2011-2015,BE,785,22315,0.03517813130181492,9,0.9
2011-2015,BG,13,22315,0.000582567779520502,25,0.9
2011-2015,ES,1686,22315,0.0755545597131974,5,0.9
2011-2015,DK,533,22315,0.023885278960340577,11,0.9
2011-2015,AT,998,22315,0.04472328030472776,7,0.9
2011-2015,GR,593,22315,0.02657405332735828,10,0.9
2011-2015,PT,504,22315,0.02258570468294869,12,0.9
2011-2015,HR,30,22315,0.0013443871835088505,24,0.9
2011-2015,GB,4921,22315,0.22052431100156844,2,0.9
2011-2015,EE,67,22315,0.003002464709836433,20,0.9
2011-2015,LV,12,22315,0.0005377548734035402,26,0.9
2011-2015,CY,47,22315,0.002106206587497199,22,0.9
2011-2015,IT,2354,22315,0.1054895809993278,4,0.9
2011-2015,HU,129,22315,0.005780864889088058,18,0.9
2011-2015,IE,395,22315,0.017701097916199865,14,0.9
2011-2015,NL,1491,22315,0.06681604302038988,6,0.9
2011-2015,DE,5987,22315,0.26829486892224963,1,0.9
2011-2015,CZ,303,22315,0.013578310553439391,15,0.9
2011-2015,LU,136,22315,0.0060945552319067895,17,0.9
2011-2015,MT,9,22315,0.00040331615505265515,27,0.9
2011-2015,SK,33,22315,0.0014788259018597356,23,0.9
2011-2015,SE,873,22315,0.03912166704010755,8,0.9
2011-2015,RO,85,22315,0.003809097019941743,19,0.9
2011-2015,LT,3,22315,0.00013443871835088506,28,0.9
2016-2020,SI,75,25232,0.002972415979708307,21,0.9
2016-2020,FI,671,25232,0.02659321496512365,11,0.9
2016-2020,FR,3564,25232,0.14124920735573873,3,0.9
2016-2020,PL,402,25232,0.015932149651236526,15,0.9
2016-2020,BE,750,25232,0.02972415979708307,10,0.9
2016-2020,BG,14,25232,0.0005548509828788839,25,0.9
2016-2020,ES,1294,25232,0.051284083703233986,6,0.9
2016-2020,DK,825,25232,0.03269657577679137,9,0.9
2016-2020,AT,1163,25232,0.046092263792010146,7,0.9
2016-2020,GR,483,25232,0.019142358909321495,12,0.9
2016-2020,PT,479,25232,0.018983830057070387,13,0.9
2016-2020,HR,25,25232,0.0009908053265694355,24,0.9
2016-2020,GB,7193,25232,0.28507450856055805,1,0.9
2016-2020,EE,76,25232,0.0030120481927710845,20,0.9
2016-2020,LV,6,25232,0.00023779327837666455,27,0.9
2016-2020,CY,59,25232,0.002338300570703868,22,0.9
2016-2020,IT,2386,25232,0.09456246036778694,4,0.9
2016-2020,HU,101,25232,0.00400285351934052,19,0.9
2016-2020,IE,373,25232,0.014782815472415979,16,0.9
2016-2020,NL,1968,25232,0.07799619530754598,5,0.9
2016-2020,DE,6638,25232,0.26307863031071654,2,0.9
2016-2020,CZ,476,25232,0.018864933417882056,14,0.9
2016-2020,LU,179,25232,0.007094166138237159,17,0.9
2016-2020,MT,13,25232,0.0005152187698161065,26,0.9
2016-2020,SK,54,25232,0.002140139505389981,23,0.9
2016-2020,SE,1135,25232,0.044982561826252376,8,0.9
2016-2020,RO,105,25232,0.00416138237159163,18,0.9
2016-2020,LT,4,25232,0.0001585288522511097,28,0.9
2021-2025,SI,96,37801,0.0025396153540911616,21,0.9
2021-2025,FI,907,37801,0.023994074230840455,12,0.9
2021-2025,FR,4809,37801,0.12721885664400412,3,0.9
2021-2025,PL,924,37801,0.02444379778312743,11,0.9
2021-2025,BE,999,37801,0.02642787227851115,10,0.9
2021-2025,BG,71,37801,0.001878257188963255,24,0.9
2021-2025,ES,1603,37801,0.042406285548001375,8,0.9
2021-2025,DK,1354,37801,0.03581915822332742,9,0.9
2021-2025,AT,1751,37801,0.04632152588555858,7,0.9
2021-2025,GR,569,37801,0.015052511838311156,14,0.9
2021-2025,PT,532,37801,0.014073701753921855,15,0.9
2021-2025,HR,43,37801,0.0011375360440199994,25,0.9
2021-2025,GB,11367,37801,0.3007063305203566,1,0.9
2021-2025,EE,111,37801,0.0029364302531679058,20,0.9
2021-2025,LV,10,37801,0.00026454326605116266,26,0.9
2021-2025,CY,84,37801,0.0022221634348297665,23,0.9
2021-2025,IT,3413,37801,0.09028861670326181,4,0.9
2021-2025,HU,127,37801,0.0033596994788497657,18,0.9
2021-2025,IE,455,37801,0.0120367186053279,16,0.9
2021-2025,NL,3125,37801,0.08266977064098834,5,0.9
2021-2025,DE,10565,37801,0.27948996058305337,2,0.9
2021-2025,CZ,650,37801,0.017195312293325573,13,0.9
2021-2025,LU,288,37801,0.007618846062273484,17,0.9
2021-2025,MT,8,37801,0.00021163461284093014,27,0.9
2021-2025,SK,87,37801,0.002301526414645115,22,0.9
2021-2025,SE,1838,37801,0.048623052300203695,6,0.9
2021-2025,RO,117,37801,0.0030951562127986033,19,0.9
2021-2025,LT,8,37801,0.00021163461284093014,27,0.9
